R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.375,5.5,0.5,0.615,0.415,0.0,0.6918820000000001
1.375,5.5,0.75,0.945,0.25,0.0,0.70164
1.375,5.5,0.75,0.84,0.44,0.0,0.693284
1.375,5.5,0.75,0.275,0.47,0.0,0.692396
1.375,5.5,0.75,0.055,0.36,0.0,0.696406
1.375,5.5,0.75,0.5,0.305,0.0,0.697342
1.375,5.5,0.75,0.615,0.415,0.0,0.6939919999999999
1.375,5.5,1.0,0.945,0.25,0.0,0.704514
1.375,5.5,1.0,0.84,0.44,0.0,0.6943019999999999
1.375,5.5,1.0,0.275,0.47,0.0,0.6937660000000001
1.375,5.5,1.0,0.055,0.36,0.0,0.696182
1.375,5.5,1.0,0.5,0.305,0.0,0.700748
1.375,5.5,1.0,0.615,0.415,0.0,0.695154
1.375,5.5,1.25,0.945,0.25,0.0,0.705954
1.375,5.5,1.25,0.84,0.44,0.0,0.6955920000000001
1.375,5.5,1.25,0.275,0.47,0.0,0.693898
1.375,5.5,1.25,0.055,0.36,0.0,0.696748
1.375,5.5,1.25,0.5,0.305,0.0,0.70205
1.375,5.5,1.25,0.615,0.415,0.0,0.6967960000000001
1.375,5.5,1.5,0.945,0.25,0.0,0.70869
1.375,5.5,1.5,0.84,0.44,0.0,0.696198
1.375,5.5,1.5,0.275,0.47,0.0,0.694944
1.375,5.5,1.5,0.055,0.36,0.0,0.696788
1.375,5.5,1.5,0.5,0.305,0.0,0.703612
1.375,5.5,1.5,0.615,0.415,0.0,0.6973280000000001
1.375,5.5,2.0,0.945,0.25,0.0,0.712192
1.375,5.5,2.0,0.84,0.44,0.0,0.69789
1.375,5.5,2.0,0.275,0.47,0.0,0.695472
1.375,5.5,2.0,0.055,0.36,0.0,0.6965180000000001
1.375,5.5,2.0,0.5,0.305,0.0,0.7048840000000001
1.375,5.5,2.0,0.615,0.415,0.0,0.699464
1.375,6.0,0.0,0.945,0.25,0.0,0.6941099999999999
1.375,6.0,0.0,0.84,0.44,0.0,0.6941099999999999
1.375,6.0,0.0,0.275,0.47,0.0,0.6941099999999999
1.375,6.0,0.0,0.055,0.36,0.0,0.699562
1.375,6.0,0.0,0.5,0.305,0.0,0.6941099999999999
1.375,6.0,0.0,0.615,0.415,0.0,0.6941099999999999
1.375,6.0,0.25,0.945,0.25,0.0,0.6995459999999999
1.375,6.0,0.25,0.84,0.44,0.0,0.6967620000000001
1.375,6.0,0.25,0.275,0.47,0.0,0.69663
1.375,6.0,0.25,0.055,0.36,0.0,0.7014680000000001
1.375,6.0,0.25,0.5,0.305,0.0,0.69853
1.375,6.0,0.25,0.615,0.415,0.0,0.697174
1.375,6.0,0.5,0.945,0.25,0.0,0.7026100000000001
1.375,6.0,0.5,0.84,0.44,0.0,0.698616
1.375,6.0,0.5,0.275,0.47,0.0,0.698282
1.375,6.0,0.5,0.055,0.36,0.0,0.7024579999999999
1.375,6.0,0.5,0.5,0.305,0.0,0.7018759999999999
1.375,6.0,0.5,0.615,0.415,0.0,0.699234
1.375,6.0,0.75,0.945,0.25,0.0,0.706106
1.375,6.0,0.75,0.84,0.44,0.0,0.7000719999999999
1.375,6.0,0.75,0.275,0.47,0.0,0.69954
1.375,6.0,0.75,0.055,0.36,0.0,0.7026279999999999
1.375,6.0,0.75,0.5,0.305,0.0,0.7040719999999999
1.375,6.0,0.75,0.615,0.415,0.0,0.700856
1.375,6.0,1.0,0.945,0.25,0.0,0.708006
1.375,6.0,1.0,0.84,0.44,0.0,0.701056
1.375,6.0,1.0,0.275,0.47,0.0,0.700546
1.375,6.0,1.0,0.055,0.36,0.0,0.702952
1.375,6.0,1.0,0.5,0.305,0.0,0.705136
1.375,6.0,1.0,0.615,0.415,0.0,0.701702
1.375,6.0,1.25,0.945,0.25,0.0,0.708982
1.375,6.0,1.25,0.84,0.44,0.0,0.7017
1.375,6.0,1.25,0.275,0.47,0.0,0.7010219999999999
1.375,6.0,1.25,0.055,0.36,0.0,0.702942
1.375,6.0,1.25,0.5,0.305,0.0,0.706244
1.375,6.0,1.25,0.615,0.415,0.0,0.70223
1.375,6.0,1.5,0.945,0.25,0.0,0.710034
1.375,6.0,1.5,0.84,0.44,0.0,0.7022439999999999
1.375,6.0,1.5,0.275,0.47,0.0,0.7016720000000001
1.375,6.0,1.5,0.055,0.36,0.0,0.703142
1.375,6.0,1.5,0.5,0.305,0.0,0.7072419999999999
1.375,6.0,1.5,0.615,0.415,0.0,0.702858
1.375,6.0,2.0,0.945,0.25,0.0,0.7126520000000001
1.375,6.0,2.0,0.84,0.44,0.0,0.702902
1.375,6.0,2.0,0.275,0.47,0.0,0.701838
1.375,6.0,2.0,0.055,0.36,0.0,0.703054
1.375,6.0,2.0,0.5,0.305,0.0,0.70873
1.375,6.0,2.0,0.615,0.415,0.0,0.704338
1.4375,5.5,0.0,0.945,0.25,0.0,0.719566
1.4375,5.5,0.0,0.84,0.44,0.0,0.719566
1.4375,5.5,0.0,0.275,0.47,0.0,0.719566
1.4375,5.5,0.0,0.055,0.36,0.0,0.727588
1.4375,5.5,0.0,0.5,0.305,0.0,0.719566
1.4375,5.5,0.0,0.615,0.415,0.0,0.719566
1.4375,5.5,0.25,0.945,0.25,0.0,0.7265499999999999
1.4375,5.5,0.25,0.84,0.44,0.0,0.723422
1.4375,5.5,0.25,0.275,0.47,0.0,0.723116
1.4375,5.5,0.25,0.055,0.36,0.0,0.729066
1.4375,5.5,0.25,0.5,0.305,0.0,0.7253899999999999
1.4375,5.5,0.25,0.615,0.415,0.0,0.7236999999999999
1.4375,5.5,0.5,0.945,0.25,0.0,0.731182
1.4375,5.5,0.5,0.84,0.44,0.0,0.725774
1.4375,5.5,0.5,0.275,0.47,0.0,0.725138
1.4375,5.5,0.5,0.055,0.36,0.0,0.729574
1.4375,5.5,0.5,0.5,0.305,0.0,0.729348
1.4375,5.5,0.5,0.615,0.415,0.0,0.726022
1.4375,5.5,0.75,0.945,0.25,0.0,0.734926
1.4375,5.5,0.75,0.84,0.44,0.0,0.7276520000000001
1.4375,5.5,0.75,0.275,0.47,0.0,0.7267459999999999
1.4375,5.5,0.75,0.055,0.36,0.0,0.730082
1.4375,5.5,0.75,0.5,0.305,0.0,0.732052
1.4375,5.5,0.75,0.615,0.415,0.0,0.7283499999999999
1.4375,5.5,1.0,0.945,0.25,0.0,0.737218
1.4375,5.5,1.0,0.84,0.44,0.0,0.7287039999999999
1.4375,5.5,1.0,0.275,0.47,0.0,0.728122
1.4375,5.5,1.0,0.055,0.36,0.0,0.730294
1.4375,5.5,1.0,0.5,0.305,0.0,0.7343379999999999
1.4375,5.5,1.0,0.615,0.415,0.0,0.729772
1.4375,5.5,1.25,0.945,0.25,0.0,0.740068
1.4375,5.5,1.25,0.84,0.44,0.0,0.72949
1.4375,5.5,1.25,0.275,0.47,0.0,0.728778
1.4375,5.5,1.25,0.055,0.36,0.0,0.7307260000000001
