R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,5.0,0.25,0.055,0.36,0.306,0.5227719999999999
1.125,5.0,0.5,0.055,0.36,0.306,0.524534
1.125,5.0,0.75,0.055,0.36,0.294,0.5252239999999999
1.125,5.0,1.0,0.055,0.36,0.29,0.525558
1.125,5.0,1.25,0.055,0.36,0.298,0.525584
1.125,5.0,1.5,0.055,0.36,0.282,0.5260319999999999
1.125,5.0,2.0,0.055,0.36,0.298,0.526222
1.25,5.0,0.0,0.055,0.36,0.042,0.60525
1.25,5.0,0.25,0.055,0.36,0.042,0.607032
1.25,5.0,0.5,0.055,0.36,0.04,0.608182
1.25,5.0,0.75,0.055,0.36,0.036,0.609152
1.25,5.0,1.0,0.055,0.36,0.038,0.6094639999999999
1.25,5.0,1.25,0.055,0.36,0.036,0.6099079999999999
1.25,5.0,1.5,0.055,0.36,0.036,0.609972
1.25,5.0,2.0,0.055,0.36,0.034,0.609964
1.3125,5.0,0.0,0.055,0.36,0.006,0.6499739999999999
1.3125,5.0,0.25,0.055,0.36,0.006,0.65168
1.3125,5.0,0.5,0.055,0.36,0.006,0.6529360000000001
1.3125,5.0,0.75,0.055,0.36,0.006,0.6535039999999999
1.3125,5.0,1.0,0.055,0.36,0.006,0.653808
1.3125,5.0,1.25,0.055,0.36,0.006,0.6543140000000001
1.3125,5.0,1.5,0.055,0.36,0.006,0.6545420000000001
1.3125,5.0,2.0,0.055,0.36,0.004,0.654432
1.375,5.0,0.0,0.055,0.36,0.0,0.6841240000000001
1.375,5.0,0.25,0.055,0.36,0.0,0.68621
1.375,5.0,0.5,0.055,0.36,0.0,0.68669
1.375,5.0,0.75,0.055,0.36,0.0,0.6875760000000001
1.375,5.0,1.0,0.055,0.36,0.0,0.6875920000000001
1.375,5.0,1.25,0.055,0.36,0.0,0.6880759999999999
1.375,5.0,1.5,0.055,0.36,0.0,0.6877300000000001
1.375,5.0,2.0,0.055,0.36,0.0,0.6879200000000001
1.4375,5.0,0.0,0.055,0.36,0.0,0.7191279999999999
1.4375,5.0,0.25,0.055,0.36,0.0,0.7202919999999999
1.4375,5.0,0.5,0.055,0.36,0.0,0.7213160000000001
1.4375,5.0,0.75,0.055,0.36,0.0,0.722326
1.4375,5.0,1.0,0.055,0.36,0.0,0.722256
1.4375,5.0,1.25,0.055,0.36,0.0,0.722212
1.4375,5.0,1.5,0.055,0.36,0.0,0.7222759999999999
1.4375,5.0,2.0,0.055,0.36,0.0,0.7222360000000001
1.5,5.0,0.0,0.055,0.36,0.0,0.746762
1.5,5.0,0.25,0.055,0.36,0.0,0.747774
1.5,5.0,0.5,0.055,0.36,0.0,0.7483540000000001
1.5,5.0,0.75,0.055,0.36,0.0,0.7488040000000001
1.5,5.0,1.0,0.055,0.36,0.0,0.749096
1.5,5.0,1.25,0.055,0.36,0.0,0.749336
1.5,5.0,1.5,0.055,0.36,0.0,0.7497039999999999
1.5,5.0,2.0,0.055,0.36,0.0,0.749558
1.75,5.0,0.0,0.055,0.36,0.0,0.8370319999999999
1.75,5.0,0.25,0.055,0.36,0.0,0.837846
1.75,5.0,0.5,0.055,0.36,0.0,0.838246
1.75,5.0,0.75,0.055,0.36,0.0,0.8385
1.75,5.0,1.0,0.055,0.36,0.0,0.838712
1.75,5.0,1.25,0.055,0.36,0.0,0.83851
1.75,5.0,1.5,0.055,0.36,0.0,0.8388219999999998
1.75,5.0,2.0,0.055,0.36,0.0,0.838712
1.125,5.5,0.0,0.055,0.36,0.282,0.53047
1.125,5.5,0.25,0.055,0.36,0.274,0.532318
1.125,5.5,0.5,0.055,0.36,0.266,0.533538
1.125,5.5,0.75,0.055,0.36,0.262,0.53442
1.125,5.5,1.0,0.055,0.36,0.25,0.534924
1.125,5.5,1.25,0.055,0.36,0.246,0.5354000000000001
1.125,5.5,1.5,0.055,0.36,0.256,0.5352480000000001
1.125,5.5,2.0,0.055,0.36,0.256,0.535366
1.25,5.5,0.0,0.055,0.36,0.034,0.614956
1.25,5.5,0.25,0.055,0.36,0.03,0.616762
1.25,5.5,0.5,0.055,0.36,0.028,0.6174700000000001
1.25,5.5,0.75,0.055,0.36,0.03,0.6180180000000001
1.25,5.5,1.0,0.055,0.36,0.03,0.61854
1.25,5.5,1.25,0.055,0.36,0.03,0.6190919999999999
1.25,5.5,1.5,0.055,0.36,0.03,0.619036
1.25,5.5,2.0,0.055,0.36,0.026,0.619454
1.3125,5.5,0.0,0.055,0.36,0.006,0.660096
1.3125,5.5,0.25,0.055,0.36,0.004,0.6616859999999999
1.3125,5.5,0.5,0.055,0.36,0.004,0.662764
1.3125,5.5,0.75,0.055,0.36,0.004,0.662798
1.3125,5.5,1.0,0.055,0.36,0.004,0.6634880000000001
1.3125,5.5,1.25,0.055,0.36,0.004,0.6634500000000001
1.3125,5.5,1.5,0.055,0.36,0.004,0.663902
1.3125,5.5,2.0,0.055,0.36,0.004,0.66372
