p,q,tau,mean_r_inf
0.8421052631578947,0.2631578947368421,5,0.6437000000000002
0.8421052631578947,0.2894736842105263,5,0.6089
0.8421052631578947,0.3157894736842105,5,0.5326000000000001
0.8421052631578947,0.3421052631578947,5,0.46580000000000005
0.8421052631578947,0.3684210526315789,5,0.5232
0.8421052631578947,0.39473684210526316,5,0.46670000000000006
0.8421052631578947,0.42105263157894735,5,0.484
0.8421052631578947,0.4473684210526315,5,0.43879999999999997
0.8421052631578947,0.47368421052631576,5,0.43610000000000004
0.8421052631578947,0.5,5,0.45260000000000006
0.894736842105263,0.0,5,0.8347999999999999
0.894736842105263,0.02631578947368421,5,0.8004999999999999
0.894736842105263,0.05263157894736842,5,0.7952000000000001
0.894736842105263,0.07894736842105263,5,0.7994000000000001
0.894736842105263,0.10526315789473684,5,0.7651000000000001
0.894736842105263,0.13157894736842105,5,0.7618
0.894736842105263,0.15789473684210525,5,0.7513
0.894736842105263,0.18421052631578946,5,0.7015
0.894736842105263,0.21052631578947367,5,0.6796
0.894736842105263,0.23684210526315788,5,0.6027000000000001
0.894736842105263,0.2631578947368421,5,0.6986
0.894736842105263,0.2894736842105263,5,0.5767999999999999
0.894736842105263,0.3157894736842105,5,0.5115999999999999
0.894736842105263,0.3421052631578947,5,0.5754
0.894736842105263,0.3684210526315789,5,0.5321
0.894736842105263,0.39473684210526316,5,0.4508000000000001
0.894736842105263,0.42105263157894735,5,0.43570000000000003
0.894736842105263,0.4473684210526315,5,0.45199999999999996
0.894736842105263,0.47368421052631576,5,0.461
0.894736842105263,0.5,5,0.4636
0.9473684210526315,0.0,5,0.8315000000000001
0.9473684210526315,0.02631578947368421,5,0.8198999999999999
0.9473684210526315,0.05263157894736842,5,0.8107
0.9473684210526315,0.07894736842105263,5,0.7884
0.9473684210526315,0.10526315789473684,5,0.7773
0.9473684210526315,0.13157894736842105,5,0.7527999999999999
0.9473684210526315,0.15789473684210525,5,0.7289
0.9473684210526315,0.18421052631578946,5,0.7357999999999999
0.9473684210526315,0.21052631578947367,5,0.6854
0.9473684210526315,0.23684210526315788,5,0.6668000000000001
0.9473684210526315,0.2631578947368421,5,0.6026
0.9473684210526315,0.2894736842105263,5,0.5324
0.9473684210526315,0.3157894736842105,5,0.5698000000000001
0.9473684210526315,0.3421052631578947,5,0.48739999999999994
0.9473684210526315,0.3684210526315789,5,0.44029999999999997
0.9473684210526315,0.39473684210526316,5,0.4323
0.9473684210526315,0.42105263157894735,5,0.438
0.9473684210526315,0.4473684210526315,5,0.4431999999999999
0.9473684210526315,0.47368421052631576,5,0.4553999999999999
0.9473684210526315,0.5,5,0.44909999999999994
1.0,0.0,5,0.8372999999999999
1.0,0.02631578947368421,5,0.8328
1.0,0.05263157894736842,5,0.798
1.0,0.07894736842105263,5,0.8018000000000001
1.0,0.10526315789473684,5,0.7855
1.0,0.13157894736842105,5,0.7594000000000001
1.0,0.15789473684210525,5,0.7706
1.0,0.18421052631578946,5,0.7433000000000001
1.0,0.21052631578947367,5,0.7111
1.0,0.23684210526315788,5,0.6881
1.0,0.2631578947368421,5,0.6454
1.0,0.2894736842105263,5,0.5708
1.0,0.3157894736842105,5,0.48069999999999996
1.0,0.3421052631578947,5,0.43079999999999996
1.0,0.3684210526315789,5,0.4429
1.0,0.39473684210526316,5,0.45330000000000004
1.0,0.42105263157894735,5,0.4378
1.0,0.4473684210526315,5,0.45410000000000006
1.0,0.47368421052631576,5,0.4173
1.0,0.5,5,0.41600000000000004
0.0,0.0,10,0.8321999999999999
0.0,0.02631578947368421,10,0.8259000000000001
0.0,0.05263157894736842,10,0.8208
0.0,0.07894736842105263,10,0.8088000000000001
0.0,0.10526315789473684,10,0.7835000000000001
0.0,0.13157894736842105,10,0.7879000000000002
0.0,0.15789473684210525,10,0.8190999999999999
0.0,0.18421052631578946,10,0.7661
0.0,0.21052631578947367,10,0.7701999999999999
0.0,0.23684210526315788,10,0.7696000000000001
0.0,0.2631578947368421,10,0.7755000000000001
0.0,0.2894736842105263,10,0.7726
0.0,0.3157894736842105,10,0.7543
0.0,0.3421052631578947,10,0.7475999999999999
0.0,0.3684210526315789,10,0.7527
0.0,0.39473684210526316,10,0.7442
0.0,0.42105263157894735,10,0.7369
0.0,0.4473684210526315,10,0.7231
0.0,0.47368421052631576,10,0.7304999999999999
0.0,0.5,10,0.7484
0.05263157894736842,0.0,10,0.8269
0.05263157894736842,0.02631578947368421,10,0.8301999999999999
0.05263157894736842,0.05263157894736842,10,0.8066999999999999
0.05263157894736842,0.07894736842105263,10,0.7897000000000001
0.05263157894736842,0.10526315789473684,10,0.7962999999999999
0.05263157894736842,0.13157894736842105,10,0.7909999999999999
0.05263157894736842,0.15789473684210525,10,0.7946
0.05263157894736842,0.18421052631578946,10,0.7741
0.05263157894736842,0.21052631578947367,10,0.7827
0.05263157894736842,0.23684210526315788,10,0.7653
0.05263157894736842,0.2631578947368421,10,0.7672
0.05263157894736842,0.2894736842105263,10,0.7617
0.05263157894736842,0.3157894736842105,10,0.7360000000000001
0.05263157894736842,0.3421052631578947,10,0.7411
0.05263157894736842,0.3684210526315789,10,0.7541
0.05263157894736842,0.39473684210526316,10,0.7289
0.05263157894736842,0.42105263157894735,10,0.7192000000000001
0.05263157894736842,0.4473684210526315,10,0.7541
0.05263157894736842,0.47368421052631576,10,0.7299
0.05263157894736842,0.5,10,0.7129
0.10526315789473684,0.0,10,0.8377999999999999
0.10526315789473684,0.02631578947368421,10,0.8130000000000001
0.10526315789473684,0.05263157894736842,10,0.8211999999999999
0.10526315789473684,0.07894736842105263,10,0.7973000000000001
0.10526315789473684,0.10526315789473684,10,0.7922
0.10526315789473684,0.13157894736842105,10,0.8108000000000001
0.10526315789473684,0.15789473684210525,10,0.7828999999999999
0.10526315789473684,0.18421052631578946,10,0.7381
0.10526315789473684,0.21052631578947367,10,0.7643
0.10526315789473684,0.23684210526315788,10,0.7543000000000001
0.10526315789473684,0.2631578947368421,10,0.7619
0.10526315789473684,0.2894736842105263,10,0.7458999999999999
0.10526315789473684,0.3157894736842105,10,0.7519
0.10526315789473684,0.3421052631578947,10,0.7514000000000001
0.10526315789473684,0.3684210526315789,10,0.7474000000000001
0.10526315789473684,0.39473684210526316,10,0.7558
0.10526315789473684,0.42105263157894735,10,0.7451
0.10526315789473684,0.4473684210526315,10,0.7557
0.10526315789473684,0.47368421052631576,10,0.6950000000000001
0.10526315789473684,0.5,10,0.7256
0.15789473684210525,0.0,10,0.8018000000000001
0.15789473684210525,0.02631578947368421,10,0.8134
0.15789473684210525,0.05263157894736842,10,0.8148
0.15789473684210525,0.07894736842105263,10,0.8091999999999999
0.15789473684210525,0.10526315789473684,10,0.7861
0.15789473684210525,0.13157894736842105,10,0.7986
0.15789473684210525,0.15789473684210525,10,0.7629
0.15789473684210525,0.18421052631578946,10,0.7778
0.15789473684210525,0.21052631578947367,10,0.768
0.15789473684210525,0.23684210526315788,10,0.7538
0.15789473684210525,0.2631578947368421,10,0.7605999999999999
0.15789473684210525,0.2894736842105263,10,0.7636000000000001
0.15789473684210525,0.3157894736842105,10,0.7355
0.15789473684210525,0.3421052631578947,10,0.7474000000000001
0.15789473684210525,0.3684210526315789,10,0.7348000000000001
0.15789473684210525,0.39473684210526316,10,0.7346
0.15789473684210525,0.42105263157894735,10,0.7386999999999999
0.15789473684210525,0.4473684210526315,10,0.7071
0.15789473684210525,0.47368421052631576,10,0.7304
0.15789473684210525,0.5,10,0.7212
0.21052631578947367,0.0,10,0.8217000000000001
0.21052631578947367,0.02631578947368421,10,0.8266
0.21052631578947367,0.05263157894736842,10,0.7948000000000002
0.21052631578947367,0.07894736842105263,10,0.8110999999999999
0.21052631578947367,0.10526315789473684,10,0.7889999999999999
0.21052631578947367,0.13157894736842105,10,0.7899
0.21052631578947367,0.15789473684210525,10,0.7845
0.21052631578947367,0.18421052631578946,10,0.7764
0.21052631578947367,0.21052631578947367,10,0.8041
0.21052631578947367,0.23684210526315788,10,0.7706999999999999
0.21052631578947367,0.2631578947368421,10,0.7565
0.21052631578947367,0.2894736842105263,10,0.7617999999999999
0.21052631578947367,0.3157894736842105,10,0.7460000000000001
0.21052631578947367,0.3421052631578947,10,0.7633
0.21052631578947367,0.3684210526315789,10,0.7236
0.21052631578947367,0.39473684210526316,10,0.7348999999999999
0.21052631578947367,0.42105263157894735,10,0.7529
0.21052631578947367,0.4473684210526315,10,0.7302
0.21052631578947367,0.47368421052631576,10,0.7386
0.21052631578947367,0.5,10,0.7250000000000001
0.2631578947368421,0.0,10,0.8055
0.2631578947368421,0.02631578947368421,10,0.8149
0.2631578947368421,0.05263157894736842,10,0.8219000000000001
0.2631578947368421,0.07894736842105263,10,0.8127000000000001
0.2631578947368421,0.10526315789473684,10,0.8001999999999999
0.2631578947368421,0.13157894736842105,10,0.8069
0.2631578947368421,0.15789473684210525,10,0.7961999999999999
0.2631578947368421,0.18421052631578946,10,0.787
0.2631578947368421,0.21052631578947367,10,0.7888
0.2631578947368421,0.23684210526315788,10,0.7691999999999999
0.2631578947368421,0.2631578947368421,10,0.756
0.2631578947368421,0.2894736842105263,10,0.7356
0.2631578947368421,0.3157894736842105,10,0.7323000000000001
0.2631578947368421,0.3421052631578947,10,0.72
0.2631578947368421,0.3684210526315789,10,0.7329
0.2631578947368421,0.39473684210526316,10,0.7232
0.2631578947368421,0.42105263157894735,10,0.7196
0.2631578947368421,0.4473684210526315,10,0.7478999999999999
0.2631578947368421,0.47368421052631576,10,0.7099
0.2631578947368421,0.5,10,0.7013
0.3157894736842105,0.0,10,0.8230999999999999
0.3157894736842105,0.02631578947368421,10,0.8360000000000001
0.3157894736842105,0.05263157894736842,10,0.8073
0.3157894736842105,0.07894736842105263,10,0.8150000000000001
0.3157894736842105,0.10526315789473684,10,0.7797000000000001
0.3157894736842105,0.13157894736842105,10,0.7706
0.3157894736842105,0.15789473684210525,10,0.7893
0.3157894736842105,0.18421052631578946,10,0.7722
0.3157894736842105,0.21052631578947367,10,0.7517000000000001
0.3157894736842105,0.23684210526315788,10,0.7658
0.3157894736842105,0.2631578947368421,10,0.7608
0.3157894736842105,0.2894736842105263,10,0.7589
0.3157894736842105,0.3157894736842105,10,0.7323999999999999
0.3157894736842105,0.3421052631578947,10,0.7663
0.3157894736842105,0.3684210526315789,10,0.7201
0.3157894736842105,0.39473684210526316,10,0.7055
0.3157894736842105,0.42105263157894735,10,0.7641
0.3157894736842105,0.4473684210526315,10,0.7295
0.3157894736842105,0.47368421052631576,10,0.7070000000000001
0.3157894736842105,0.5,10,0.727
0.3684210526315789,0.0,10,0.8162
0.3684210526315789,0.02631578947368421,10,0.8131
0.3684210526315789,0.05263157894736842,10,0.8000999999999999
0.3684210526315789,0.07894736842105263,10,0.8169000000000001
